Number of clusters;-1;3
Number of clusters;1;1
Number of clusters;2;2
Number of clusters;3;3
Number of clusters;4;4
Number of clusters;5;5
Number of clusters;6;6
Number of clusters;7;7
Number of clusters;8;8
Number of clusters;9;9
Number of clusters;10;10
Number of clusters;11;11
Number of clusters;12;12
Number of clusters;13;13
Number of clusters;14;14
Number of clusters;15;15
Number of clusters;16;16
Number of clusters;17;17
Number of clusters;18;18
Number of clusters;19;19
Number of clusters;20;20
Number of clusters;21;21
Number of clusters;22;22
Number of clusters;23;23
Number of clusters;24;24
Number of clusters;25;25
Maximum number of candidates;10;2
Maximum number of candidates;11;2
Maximum number of candidates;12;2
Maximum number of candidates;13;2
Maximum number of candidates;14;2
Maximum number of candidates;15;2
Maximum number of candidates;16;2
Maximum number of candidates;17;2
Maximum number of candidates;18;2
Maximum number of candidates;19;2
Maximum number of candidates;20;2
Maximum number of candidates;21;2
Maximum number of candidates;22;2
Maximum number of candidates;23;2
Maximum number of candidates;24;2
Maximum number of candidates;25;2
Maximum number of candidates;26;2
Maximum number of candidates;27;2
Maximum number of candidates;28;2
Maximum number of candidates;29;2
Maximum number of candidates;30;2
Maximum number of candidates;31;2
Maximum number of candidates;32;2
Maximum number of candidates;33;2
Maximum number of candidates;34;2
Maximum number of candidates;35;2
Maximum number of candidates;36;2
Maximum number of candidates;37;2
Maximum number of candidates;38;2
Maximum number of candidates;39;2
Maximum number of candidates;40;2
Maximum number of candidates;41;2
Maximum number of candidates;42;2
Maximum number of candidates;43;2
Maximum number of candidates;44;2
Maximum number of candidates;45;2
Maximum number of candidates;46;2
Maximum number of candidates;47;2
Maximum number of candidates;48;2
Maximum number of candidates;49;2
Maximum number of candidates;50;2
T2 distance;-1;2
T2 distance;1;2
T2 distance;2;2
T2 distance;3;2
T2 distance;4;2
T2 distance;5;2
T2 distance;6;2
T2 distance;7;2
T2 distance;8;2
T2 distance;9;2
T2 distance;10;2
T2 distance;11;2
T2 distance;12;2
T2 distance;13;2
T2 distance;14;2
T2 distance;15;2
T2 distance;16;2
T2 distance;17;2
T2 distance;18;2
T2 distance;19;2
T2 distance;20;2
T2 distance;21;2
T2 distance;22;2
T2 distance;23;2
T2 distance;24;2
T2 distance;25;2
T1 distance;-5;2
T1 distance;-4;2
T1 distance;-3;2
T1 distance;-2;2
T1 distance;-1;2
T1 distance;1;2
T1 distance;2;2
T1 distance;3;2
T1 distance;4;2
T1 distance;5;2
T1 distance;6;2
T1 distance;7;2
T1 distance;8;2
T1 distance;9;2
T1 distance;10;2
T1 distance;11;2
T1 distance;12;2
T1 distance;13;2
T1 distance;14;2
T1 distance;15;2
T1 distance;16;2
T1 distance;17;2
T1 distance;18;2
T1 distance;19;2
T1 distance;20;2
T1 distance;21;2
T1 distance;22;2
T1 distance;23;2
T1 distance;24;2
T1 distance;25;2
